"Diploma Course","Authority Code","Authority Name","School Code","School Name","2010  Students Writing","2010  School Mark % Exc","2010  School Mark % Acc","2010  School Average %","2010  School Standard Deviation %","2010  Exam Mark % Exc","2010  Exam Mark Exc Sig","2010  Exam Mark % Acc","2010  Exam Mark Acc Sig","2010  Exam Average %","2010  Exam Standard Deviation %","2010  Final Mark % Exc","2010  Final Mark % Acc","2010  Final Average %","2010  Final Standard Deviation %","2011  Students Writing","2011  School Mark % Exc","2011  School Mark % Acc","2011  School Average %","2011  School Standard Deviation %","2011  Exam Mark % Exc","2011  Exam Mark Exc Sig","2011  Exam Mark % Acc","2011  Exam Mark Acc Sig","2011  Exam Average %","2011  Exam Standard Deviation %","2011  Final Mark % Exc","2011  Final Mark % Acc","2011  Final Average %","2011  Final Standard Deviation %","2012  Students Writing","2012  School Mark % Exc","2012  School Mark % Acc","2012  School Average %","2012  School Standard Deviation %","2012  Exam Mark % Exc","2012  Exam Mark Exc Sig","2012  Exam Mark % Acc","2012  Exam Mark Acc Sig","2012  Exam Average %","2012  Exam Standard Deviation %","2012  Final Mark % Exc","2012  Final Mark % Acc","2012  Final Average %","2012  Final Standard Deviation %","2013  Students Writing","2013  School Mark % Exc","2013  School Mark % Acc","2013  School Average %","2013  School Standard Deviation %","2013  Exam Mark % Exc","2013  Exam Mark Exc Sig","2013  Exam Mark % Acc","2013  Exam Mark Acc Sig","2013  Exam Average %","2013  Exam Standard Deviation %","2013  Final Mark % Exc","2013  Final Mark % Acc","2013  Final Average %","2013  Final Standard Deviation %","2014  Students Writing","2014  School Mark % Exc","2014  School Mark % Acc","2014  School Average %","2014  School Standard Deviation %","2014  Exam Mark % Exc","2014  Exam Mark Exc Sig","2014  Exam Mark % Acc","2014  Exam Mark Acc Sig","2014  Exam Average %","2014  Exam Standard Deviation %","2014  Final Mark % Exc","2014  Final Mark % Acc","2014  Final Average %","2014  Final Standard Deviation %"
"English Lang Arts 30-2",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",1,100,100,82,N/A,0,=,100,=,66,N/A,0,100,74,N/A,3,33.3,100,72.7,9.3,0,=,66.7,=,50.3,25.5,0,66.7,61.7,14.6,3,33.3,100,78.3,5.8,0,=,100,=,66.3,9.5,33.3,100,72.7,7.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,25,100,77.5,5,0,=,100,=,67.5,8.2,0,100,72.8,3.4
"English Lang Arts 30-1",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",1,100,100,91,N/A,0,=,100,=,64,N/A,0,100,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,100,100,81.7,2.9,0,=,0,=,43.3,3.1,0,100,62.7,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Biology 30",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",2,50,100,78,9.9,0,=,50,=,60.5,17.7,0,100,69.5,13.4,1,100,100,80,N/A,0,=,100,=,69,N/A,0,100,75,N/A,1,0,0,40,N/A,0,=,0,=,39,N/A,0,0,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Chemistry 30",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",1,0,100,72,N/A,0,N/A,100,N/A,67,N/A,0,100,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,100,100,80,N/A,0,=,100,=,78,N/A,0,100,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Social Studies 30-1",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,100,100,84,5.7,0,N/A,0,N/A,41,7.1,0,100,62.5,6.4,1,0,100,65,N/A,0,=,0,=,45,N/A,0,100,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Social Studies 30-2",2195,"Elk Island Public Schools Regional Division No. 14",401,"Vegreville Next Step III Outreach School",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,100,61.7,6.8,0,N/A,66.7,N/A,47.8,17.3,0,66.7,55,11.5,3,0,100,73.3,2.9,0,=,66.7,=,60.3,11.6,0,100,67,5.6,1,100,100,90,N/A,0,=,100,=,70,N/A,100,100,80,N/A,3,66.7,100,78.3,7.6,33.3,=,100,=,69,10.5,33.3,100,74,7.9
"English Lang Arts 30-2",2195,"Elk Island Public Schools Regional Division No. 14",3610,"Vegreville Composite High School",15,6.7,100,65.9,9.8,13.3,=,100,=,71.9,8.2,6.7,100,69.1,8.5,23,13,100,66.7,9.3,21.7,=,100,=,71.9,8.4,4.3,100,69.7,7.5,23,17.4,100,66.5,8.7,13,=,100,=,71.9,10.1,17.4,100,69.5,8.8,23,8.7,100,63,9.6,21.7,=,100,=,70.5,9,13,100,67.1,8.7,33,18.2,97,66.7,11.3,27.3,=,100,=,72.5,10.8,21.2,100,69.9,10.5
"English Lang Arts 30-1",2195,"Elk Island Public Schools Regional Division No. 14",3610,"Vegreville Composite High School",35,34.3,100,75,8.4,11.4,=,91.4,=,64.7,12.6,17.1,100,70,10.2,35,31.4,100,76,9.4,11.4,=,97.1,=,66.8,10.2,22.9,100,71.7,9.2,27,33.3,100,74,9.2,11.1,=,96.3,=,66.7,11.5,18.5,100,70.5,9.7,33,57.6,100,77.5,10.9,18.2,=,97,=,68.5,11,21.2,100,73.2,9.9,28,32.1,100,74.2,8.5,14.3,=,89.3,=,66.8,11.7,17.9,100,70.8,9.4
"Mathematics 30-1",2195,"Elk Island Public Schools Regional Division No. 14",3610,"Vegreville Composite High School",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29,24.1,93.1,68.5,15,13.8,N/A,65.5,N/A,57.8,21,13.8,82.8,63.5,17.4,31,25.8,96.8,68.6,14.1,6.5,N/A,58.1,N/A,54.5,19,19.4,83.9,61.8,15.4
"Mathematics 30-2",2195,"Elk Island Public Schools Regional Division No. 14",3610,"Vegreville Composite High School",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,33.3,100,72.2,13,8.3,N/A,83.3,N/A,61.8,12,25,91.7,67.3,12,20,25,90,69.1,13.4,10,N/A,70,N/A,60.5,16.8,20,80,65.2,14.7
