Course Name,Form,Language,2010 Prov Enrol,2010 Prov Writing,2010 Prov Absent,2010 Prov Excused,2010 Prov Acc,2010 Prov Exc,2010 Prov Below,2010 Prov Not Avail,2010 Prov Part 1 Acc,2010 Prov Part 1 Exc,2010 Prov Part 2 Acc,2010 Prov Part 2 Exc,2010 Prov % Writing,2010 Prov % Absent,2010 Prov % Excused,2010 Prov % Acc of Enrol,2010 Prov % Exc of Enrol,2010 Prov % Below of Enrol,2010 Prov % Not Avail,2010 Prov % Acc of Writing,2010 Prov % Exc of Writing,2010 Prov % Below of Writing,2010 Prov Part 1 % Acc,2010 Prov Part 1 % Exc,2010 Prov Part 2 % Acc,2010 Prov Part 2 % Exc,2010 Prov Mean %,2010 Prov Std Dev %,2011 Prov Enrol,2011 Prov Writing,2011 Prov Absent,2011 Prov Excused,2011 Prov Acc,2011 Prov Exc,2011 Prov Below,2011 Prov Not Avail,2011 Prov Part 1 Acc,2011 Prov Part 1 Exc,2011 Prov Part 2 Acc,2011 Prov Part 2 Exc,2011 Prov % Writing,2011 Prov % Absent,2011 Prov % Excused,2011 Prov % Acc of Enrol,2011 Prov % Exc of Enrol,2011 Prov % Below of Enrol,2011 Prov % Not Avail,2011 Prov % Acc of Writing,2011 Prov % Exc of Writing,2011 Prov % Below of Writing,2011 Prov Part 1 % Acc,2011 Prov Part 1 % Exc,2011 Prov Part 2 % Acc,2011 Prov Part 2 % Exc,2011 Prov Mean %,2011 Prov Std Dev %,2012 Prov Enrol,2012 Prov Writing,2012 Prov Absent,2012 Prov Excused,2012 Prov Acc,2012 Prov Exc,2012 Prov Below,2012 Prov Not Avail,2012 Prov Part 1 Acc,2012 Prov Part 1 Exc,2012 Prov Part 2 Acc,2012 Prov Part 2 Exc,2012 Prov % Writing,2012 Prov % Absent,2012 Prov % Excused,2012 Prov % Acc of Enrol,2012 Prov % Exc of Enrol,2012 Prov % Below of Enrol,2012 Prov % Not Avail,2012 Prov % Acc of Writing,2012 Prov % Exc of Writing,2012 Prov % Below of Writing,2012 Prov Part 1 % Acc,2012 Prov Part 1 % Exc,2012 Prov Part 2 % Acc,2012 Prov Part 2 % Exc,2012 Prov Mean %,2012 Prov Std Dev %,2013 Prov Enrol,2013 Prov Writing,2013 Prov Absent,2013 Prov Excused,2013 Prov Acc,2013 Prov Exc,2013 Prov Below,2013 Prov Not Avail,2013 Prov Part 1 Acc,2013 Prov Part 1 Exc,2013 Prov Part 2 Acc,2013 Prov Part 2 Exc,2013 Prov % Writing,2013 Prov % Absent,2013 Prov % Excused,2013 Prov % Acc of Enrol,2013 Prov % Exc of Enrol,2013 Prov % Below of Enrol,2013 Prov % Not Avail,2013 Prov % Acc of Writing,2013 Prov % Exc of Writing,2013 Prov % Below of Writing,2013 Prov Part 1 % Acc,2013 Prov Part 1 % Exc,2013 Prov Part 2 % Acc,2013 Prov Part 2 % Exc,2013 Prov Mean %,2013 Prov Std Dev %,2014 Prov Enrol,2014 Prov Writing,2014 Prov Absent,2014 Prov Excused,2014 Prov Acc,2014 Prov Exc,2014 Prov Below,2014 Prov Not Avail,2014 Prov Part 1 Acc,2014 Prov Part 1 Exc,2014 Prov Part 2 Acc,2014 Prov Part 2 Exc,2014 Prov % Writing,2014 Prov % Absent,2014 Prov % Excused,2014 Prov % Acc of Enrol,2014 Prov % Exc of Enrol,2014 Prov % Below of Enrol,2014 Prov % Not Avail,2014 Prov % Acc of Writing,2014 Prov % Exc of Writing,2014 Prov % Below of Writing,2014 Prov Part 1 % Acc,2014 Prov Part 1 % Exc,2014 Prov Part 2 % Acc,2014 Prov Part 2 % Exc,2014 Prov Mean %,2014 Prov Std Dev %,2010 Auth Enrol,2010 Auth Writing,2010 Auth Absent,2010 Auth Excused,2010 Auth Acc,2010 Auth Exc,2010 Auth Below,2010 Auth Not Avail,2010 Auth Part 1 Acc,2010 Auth Part 1 Exc,2010 Auth Part 2 Acc,2010 Auth Part 2 Exc,2010 Auth % Writing,2010 Auth % Absent,2010 Auth % Excused,2010 Auth % Acc of Enrol,2010 Auth % Exc of Enrol,2010 Auth % Below of Enrol,2010 Auth % Not Avail,2010 Auth % Acc of Writing,2010 Auth % Exc of Writing,2010 Auth % Below of Writing,2010 Auth Part 1 % Acc,2010 Auth Part 1 % Exc,2010 Auth Part 2 % Acc,2010 Auth Part 2 % Exc,2010 Auth Mean %,2010 Auth Std Dev %,2011 Auth Enrol,2011 Auth Writing,2011 Auth Absent,2011 Auth Excused,2011 Auth Acc,2011 Auth Exc,2011 Auth Below,2011 Auth Not Avail,2011 Auth Part 1 Acc,2011 Auth Part 1 Exc,2011 Auth Part 2 Acc,2011 Auth Part 2 Exc,2011 Auth % Writing,2011 Auth % Absent,2011 Auth % Excused,2011 Auth % Acc of Enrol,2011 Auth % Exc of Enrol,2011 Auth % Below of Enrol,2011 Auth % Not Avail,2011 Auth % Acc of Writing,2011 Auth % Exc of Writing,2011 Auth % Below of Writing,2011 Auth Part 1 % Acc,2011 Auth Part 1 % Exc,2011 Auth Part 2 % Acc,2011 Auth Part 2 % Exc,2011 Auth Mean %,2011 Auth Std Dev %,2012 Auth Enrol,2012 Auth Writing,2012 Auth Absent,2012 Auth Excused,2012 Auth Acc,2012 Auth Exc,2012 Auth Below,2012 Auth Not Avail,2012 Auth Part 1 Acc,2012 Auth Part 1 Exc,2012 Auth Part 2 Acc,2012 Auth Part 2 Exc,2012 Auth % Writing,2012 Auth % Absent,2012 Auth % Excused,2012 Auth % Acc of Enrol,2012 Auth % Exc of Enrol,2012 Auth % Below of Enrol,2012 Auth % Not Avail,2012 Auth % Acc of Writing,2012 Auth % Exc of Writing,2012 Auth % Below of Writing,2012 Auth Part 1 % Acc,2012 Auth Part 1 % Exc,2012 Auth Part 2 % Acc,2012 Auth Part 2 % Exc,2012 Auth Mean %,2012 Auth Std Dev %,2013 Auth Enrol,2013 Auth Writing,2013 Auth Absent,2013 Auth Excused,2013 Auth Acc,2013 Auth Exc,2013 Auth Below,2013 Auth Not Avail,2013 Auth Part 1 Acc,2013 Auth Part 1 Exc,2013 Auth Part 2 Acc,2013 Auth Part 2 Exc,2013 Auth % Writing,2013 Auth % Absent,2013 Auth % Excused,2013 Auth % Acc of Enrol,2013 Auth % Exc of Enrol,2013 Auth % Below of Enrol,2013 Auth % Not Avail,2013 Auth % Acc of Writing,2013 Auth % Exc of Writing,2013 Auth % Below of Writing,2013 Auth Part 1 % Acc,2013 Auth Part 1 % Exc,2013 Auth Part 2 % Acc,2013 Auth Part 2 % Exc,2013 Auth Mean %,2013 Auth Std Dev %,2014 Auth Enrol,2014 Auth Writing,2014 Auth Absent,2014 Auth Excused,2014 Auth Acc,2014 Auth Exc,2014 Auth Below,2014 Auth Not Avail,2014 Auth Part 1 Acc,2014 Auth Part 1 Exc,2014 Auth Part 2 Acc,2014 Auth Part 2 Exc,2014 Auth % Writing,2014 Auth % Absent,2014 Auth % Excused,2014 Auth % Acc of Enrol,2014 Auth % Exc of Enrol,2014 Auth % Below of Enrol,2014 Auth % Not Avail,2014 Auth % Acc of Writing,2014 Auth % Exc of Writing,2014 Auth % Below of Writing,2014 Auth Part 1 % Acc,2014 Auth Part 1 % Exc,2014 Auth Part 2 % Acc,2014 Auth Part 2 % Exc,2014 Auth Mean %,2014 Auth Std Dev %
English Language Arts 6,001,Written in English,43538,39471,1759,2308,36251,8223,3220,4067,35871,5156,35978,16418,90.7,4.0,5.3,83.3,18.9,7.4,9.3,91.8,20.8,8.2,90.9,13.1,91.2,41.6,66.6,13.1,43391,39402,2002,1987,36017,8032,3385,3989,34978,4731,36000,16261,90.8,4.6,4.6,83.0,18.5,7.8,9.2,91.4,20.4,8.6,88.8,12.0,91.4,41.3,65.3,13.3,43135,39182,1898,2055,35672,7682,3510,3953,34316,5085,35128,15641,90.8,4.4,4.8,82.7,17.8,8.1,9.2,91.0,19.6,9.0,87.6,13.0,89.7,39.9,66.3,14.0,44107,40040,1873,2194,36399,7201,3641,4067,35734,4680,35717,15778,90.8,4.2,5.0,82.5,16.3,8.3,9.2,90.9,18.0,9.1,89.2,11.7,89.2,39.4,66.7,13.1,45704,41301,2261,2142,37428,8041,3873,4403,36414,5592,36895,16664,90.4,4.9,4.7,81.9,17.6,8.5,9.6,90.6,19.5,9.4,88.2,13.5,89.3,40.3,67.0,13.5,1158,1098,23,37,1038,250,60,60,1043,150,1040,522,94.8,2.0,3.2,89.6,21.6,5.2,5.2,94.5,22.8,5.5,95.0,13.7,94.7,47.5,68.5,11.7,1154,1104,19,31,1070,272,34,50,1037,143,1059,559,95.7,1.6,2.7,92.7,23.6,2.9,4.3,96.9,24.6,3.1,93.9,13.0,95.9,50.6,68.5,11.7,1165,1114,13,38,1077,255,37,51,1046,158,1067,526,95.6,1.1,3.3,92.4,21.9,3.2,4.4,96.7,22.9,3.3,93.9,14.2,95.8,47.2,69.7,11.7,1160,1112,11,37,1053,243,59,48,1044,149,1039,512,95.9,0.9,3.2,90.8,20.9,5.1,4.1,94.7,21.9,5.3,93.9,13.4,93.4,46.0,69.1,11.7,1177,1116,19,42,1072,286,44,61,1058,186,1043,556,94.8,1.6,3.6,91.1,24.3,3.7,5.2,96.1,25.6,3.9,94.8,16.7,93.5,49.8,70.4,12.1
French Language Arts 6,001,Written in French,2484,2423,53,8,2194,394,229,61,2299,532,2009,432,97.5,2.1,0.3,88.3,15.9,9.2,2.5,90.5,16.3,9.5,94.9,22.0,82.9,17.8,66.7,14.2,2635,2563,56,16,2356,451,207,72,2468,600,2184,559,97.3,2.1,0.6,89.4,17.1,7.9,2.7,91.9,17.6,8.1,96.3,23.4,85.2,21.8,69.5,13.9,2591,2523,62,6,2315,447,208,68,2396,492,2160,621,97.4,2.4,0.2,89.3,17.3,8.0,2.6,91.8,17.7,8.2,95.0,19.5,85.6,24.6,68.4,13.5,2599,2547,39,13,2302,424,245,52,2384,450,2155,632,98.0,1.5,0.5,88.6,16.3,9.4,2.0,90.4,16.6,9.6,93.6,17.7,84.6,24.8,67.8,13.3,2752,2687,51,14,2421,428,266,65,2453,423,2318,711,97.6,1.9,0.5,88.0,15.6,9.7,2.4,90.1,15.9,9.9,91.3,15.7,86.3,26.5,69.0,13.3,69,68,1,0,61,6,7,1,64,10,56,12,98.6,1.4,0.0,88.4,8.7,10.1,1.4,89.7,8.8,10.3,94.1,14.7,82.4,17.6,65.1,13.1,72,71,0,1,69,18,2,1,71,25,65,20,98.6,0.0,1.4,95.8,25.0,2.8,1.4,97.2,25.4,2.8,100.0,35.2,91.5,28.2,73.9,12.5,84,83,1,0,75,12,8,1,78,19,70,16,98.8,1.2,0.0,89.3,14.3,9.5,1.2,90.4,14.5,9.6,94.0,22.9,84.3,19.3,67.8,14.1,82,80,1,1,70,11,10,2,70,10,65,15,97.6,1.2,1.2,85.4,13.4,12.2,2.4,87.5,13.8,12.5,87.5,12.5,81.3,18.8,66.0,13.4,104,102,2,0,88,13,14,2,90,13,80,21,98.1,1.9,0.0,84.6,12.5,13.5,1.9,86.3,12.7,13.7,88.2,12.7,78.4,20.6,66.0,14.1
Mathematics 6,001,All Students Writing,21580,19050,1400,1130,16044,3574,3006,2530,16198,2776,15884,4898,88.3,6.5,5.2,74.3,16.6,13.9,11.7,84.2,18.8,15.8,85.0,14.6,83.4,25.7,69.8,18.8,43498,39478,1725,2295,32057,7750,7421,4020,N/A,N/A,N/A,N/A,90.8,4.0,5.3,73.7,17.8,17.1,9.2,81.2,19.6,18.8,N/A,N/A,N/A,N/A,64.0,19.7,43135,39242,1915,1978,32248,7178,6994,3893,N/A,N/A,N/A,N/A,91.0,4.4,4.6,74.8,16.6,16.2,9.0,82.2,18.3,17.8,N/A,N/A,N/A,N/A,61.2,19.8,44056,40047,1573,2436,32179,7247,7868,4009,N/A,N/A,N/A,N/A,90.9,3.6,5.5,73.0,16.4,17.9,9.1,80.4,18.1,19.6,N/A,N/A,N/A,N/A,56.4,20.0,45617,41356,2005,2256,33525,7019,7831,4261,N/A,N/A,N/A,N/A,90.7,4.4,4.9,73.5,15.4,17.2,9.3,81.1,17.0,18.9,N/A,N/A,N/A,N/A,57.1,20.3,1043,992,19,32,864,222,128,51,885,169,858,298,95.1,1.8,3.1,82.8,21.3,12.3,4.9,87.1,22.4,12.9,89.2,17.0,86.5,30.0,72.4,17.8,1154,1103,15,36,984,306,119,51,N/A,N/A,N/A,N/A,95.6,1.3,3.1,85.3,26.5,10.3,4.4,89.2,27.7,10.8,N/A,N/A,N/A,N/A,69.4,17.9,1165,1108,14,43,1009,280,99,57,N/A,N/A,N/A,N/A,95.1,1.2,3.7,86.6,24.0,8.5,4.9,91.1,25.3,8.9,N/A,N/A,N/A,N/A,66.8,17.4,1159,1108,14,37,950,269,158,51,N/A,N/A,N/A,N/A,95.6,1.2,3.2,82.0,23.2,13.6,4.4,85.7,24.3,14.3,N/A,N/A,N/A,N/A,60.8,19.5,1176,1120,11,45,985,223,135,56,N/A,N/A,N/A,N/A,95.2,0.9,3.8,83.8,19.0,11.5,4.8,87.9,19.9,12.1,N/A,N/A,N/A,N/A,60.9,18.8
Mathematics 6,001,Written in English,19206,16712,1370,1124,13989,3127,2723,2494,14144,2484,13855,4225,87.0,7.1,5.9,72.8,16.3,14.2,13.0,83.7,18.7,16.3,84.6,14.9,82.9,25.3,69.6,18.9,40408,36436,1697,2275,29414,7088,7022,3972,N/A,N/A,N/A,N/A,90.2,4.2,5.6,72.8,17.5,17.4,9.8,80.7,19.5,19.3,N/A,N/A,N/A,N/A,63.8,19.9,40098,36256,1875,1967,29703,6595,6553,3842,N/A,N/A,N/A,N/A,90.4,4.7,4.9,74.1,16.4,16.3,9.6,81.9,18.2,18.1,N/A,N/A,N/A,N/A,61.1,19.9,40972,37009,1550,2413,29551,6675,7458,3963,N/A,N/A,N/A,N/A,90.3,3.8,5.9,72.1,16.3,18.2,9.7,79.8,18.0,20.2,N/A,N/A,N/A,N/A,56.2,20.1,42369,38161,1973,2235,30799,6480,7362,4208,N/A,N/A,N/A,N/A,90.1,4.7,5.3,72.7,15.3,17.4,9.9,80.7,17.0,19.3,N/A,N/A,N/A,N/A,56.9,20.4,973,924,17,32,810,217,114,49,830,163,802,286,95.0,1.7,3.3,83.2,22.3,11.7,5.0,87.7,23.5,12.3,89.8,17.6,86.8,31.0,72.8,17.8,1082,1032,15,35,923,291,109,50,N/A,N/A,N/A,N/A,95.4,1.4,3.2,85.3,26.9,10.1,4.6,89.4,28.2,10.6,N/A,N/A,N/A,N/A,69.6,17.9,1081,1024,14,43,940,267,84,57,N/A,N/A,N/A,N/A,94.7,1.3,4.0,87.0,24.7,7.8,5.3,91.8,26.1,8.2,N/A,N/A,N/A,N/A,67.4,17.2,1077,1028,13,36,891,260,137,49,N/A,N/A,N/A,N/A,95.5,1.2,3.3,82.7,24.1,12.7,4.5,86.7,25.3,13.3,N/A,N/A,N/A,N/A,61.4,19.5,1072,1017,10,45,904,212,113,55,N/A,N/A,N/A,N/A,94.9,0.9,4.2,84.3,19.8,10.5,5.1,88.9,20.8,11.1,N/A,N/A,N/A,N/A,61.5,18.8
Mathematics 6,002,All Students Writing,21903,20488,360,1055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.5,1.6,4.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,105,1,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.3,0.9,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.6,16.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mathematics 6,002,Written in English,21366,19957,355,1054,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.4,1.7,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115,105,1,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.3,0.9,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.6,16.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mathematics 6 (Fr),001,Written in French,2374,2338,30,6,2055,447,283,36,2054,292,2029,673,98.5,1.3,0.3,86.6,18.8,11.9,1.5,87.9,19.1,12.1,87.9,12.5,86.8,28.8,71.3,17.4,3090,3042,28,20,2643,662,399,48,N/A,N/A,N/A,N/A,98.4,0.9,0.6,85.5,21.4,12.9,1.6,86.9,21.8,13.1,N/A,N/A,N/A,N/A,66.9,17.9,3037,2986,40,11,2545,583,441,51,N/A,N/A,N/A,N/A,98.3,1.3,0.4,83.8,19.2,14.5,1.7,85.2,19.5,14.8,N/A,N/A,N/A,N/A,62.8,18.7,3084,3038,23,23,2628,572,410,46,N/A,N/A,N/A,N/A,98.5,0.7,0.7,85.2,18.5,13.3,1.5,86.5,18.8,13.5,N/A,N/A,N/A,N/A,58.4,18.4,3248,3195,32,21,2726,539,469,53,N/A,N/A,N/A,N/A,98.4,1.0,0.6,83.9,16.6,14.4,1.6,85.3,16.9,14.7,N/A,N/A,N/A,N/A,58.6,19.0,70,68,2,0,54,5,14,2,55,6,56,12,97.1,2.9,0.0,77.1,7.1,20.0,2.9,79.4,7.4,20.6,80.9,8.8,82.4,17.6,66.9,17.6,72,71,0,1,61,15,10,1,N/A,N/A,N/A,N/A,98.6,0.0,1.4,84.7,20.8,13.9,1.4,85.9,21.1,14.1,N/A,N/A,N/A,N/A,66.3,17.7,84,84,0,0,69,13,15,0,N/A,N/A,N/A,N/A,100.0,0.0,0.0,82.1,15.5,17.9,0.0,82.1,15.5,17.9,N/A,N/A,N/A,N/A,59.5,18.2,82,80,1,1,59,9,21,2,N/A,N/A,N/A,N/A,97.6,1.2,1.2,72.0,11.0,25.6,2.4,73.8,11.3,26.3,N/A,N/A,N/A,N/A,53.3,18.4,104,103,1,0,81,11,22,1,N/A,N/A,N/A,N/A,99.0,1.0,0.0,77.9,10.6,21.2,1.0,78.6,10.7,21.4,N/A,N/A,N/A,N/A,54.0,18.5
Science 6,001,All Students Writing,43449,39311,1821,2317,33355,11494,5956,4138,35560,13527,31343,12405,90.5,4.2,5.3,76.8,26.5,13.7,9.5,84.8,29.2,15.2,90.5,34.4,79.7,31.6,65.8,17.0,43399,39262,1774,2363,33091,10859,6171,4137,34950,14483,31235,10858,90.5,4.1,5.4,76.2,25.0,14.2,9.5,84.3,27.7,15.7,89.0,36.9,79.6,27.7,68.3,17.7,43038,39102,2016,1920,33508,12125,5594,3936,35515,14573,31201,12620,90.9,4.7,4.5,77.9,28.2,13.0,9.1,85.7,31.0,14.3,90.8,37.3,79.8,32.3,69.6,17.6,44105,40089,1642,2374,34181,11416,5908,4016,36181,14040,32277,11417,90.9,3.7,5.4,77.5,25.9,13.4,9.1,85.3,28.5,14.7,90.3,35.0,80.5,28.5,66.0,18.3,45608,41129,2118,2361,34619,11351,6510,4479,36669,13347,32943,11967,90.2,4.6,5.2,75.9,24.9,14.3,9.8,84.2,27.6,15.8,89.2,32.5,80.1,29.1,65.4,18.6,1157,1097,23,37,986,414,111,60,1029,484,938,431,94.8,2.0,3.2,85.2,35.8,9.6,5.2,89.9,37.7,10.1,93.8,44.1,85.5,39.3,69.8,16.5,1154,1103,16,35,1020,438,83,51,1044,537,989,429,95.6,1.4,3.0,88.4,38.0,7.2,4.4,92.5,39.7,7.5,94.7,48.7,89.7,38.9,74.2,15.8,1165,1112,15,38,1038,477,74,53,1065,554,986,480,95.5,1.3,3.3,89.1,40.9,6.4,4.5,93.3,42.9,6.7,95.8,49.8,88.7,43.2,75.4,15.3,1159,1109,15,35,1006,403,103,50,1051,472,958,391,95.7,1.3,3.0,86.8,34.8,8.9,4.3,90.7,36.3,9.3,94.8,42.6,86.4,35.3,70.4,17.0,1176,1111,21,44,1025,416,86,65,1045,467,986,436,94.5,1.8,3.7,87.2,35.4,7.3,5.5,92.3,37.4,7.7,94.1,42.0,88.7,39.2,70.8,16.9
Science 6,001,Written in English,40541,36446,1788,2307,31044,10962,5402,4095,33030,12832,29200,11855,89.9,4.4,5.7,76.6,27.0,13.3,10.1,85.2,30.1,14.8,90.6,35.2,80.1,32.5,66.1,17.0,40312,36230,1741,2341,30525,10172,5705,4082,32234,13486,28815,10192,89.9,4.3,5.8,75.7,25.2,14.2,10.1,84.3,28.1,15.7,89.0,37.2,79.5,28.1,68.3,17.8,39996,36108,1980,1908,30975,11390,5133,3888,32826,13673,28861,11812,90.3,5.0,4.8,77.4,28.5,12.8,9.7,85.8,31.5,14.2,90.9,37.9,79.9,32.7,69.7,17.6,41012,37045,1613,2354,31626,10765,5419,3967,33445,13152,29933,10798,90.3,3.9,5.7,77.1,26.2,13.2,9.7,85.4,29.1,14.6,90.3,35.5,80.8,29.1,66.2,18.3,42354,37928,2081,2345,31927,10722,6001,4426,33834,12482,30394,11351,89.5,4.9,5.5,75.4,25.3,14.2,10.5,84.2,28.3,15.8,89.2,32.9,80.1,29.9,65.7,18.6,1089,1029,23,37,939,405,90,60,974,468,892,422,94.5,2.1,3.4,86.2,37.2,8.3,5.5,91.3,39.4,8.7,94.7,45.5,86.7,41.0,70.5,16.2,1082,1032,16,34,956,422,76,50,979,514,927,412,95.4,1.5,3.1,88.4,39.0,7.0,4.6,92.6,40.9,7.4,94.9,49.8,89.8,39.9,74.4,15.9,1081,1028,15,38,969,456,59,53,992,529,925,456,95.1,1.4,3.5,89.6,42.2,5.5,4.9,94.3,44.4,5.7,96.5,51.5,90.0,44.4,76.0,14.8,1077,1029,14,34,943,395,86,48,984,458,898,385,95.5,1.3,3.2,87.6,36.7,8.0,4.5,91.6,38.4,8.4,95.6,44.5,87.3,37.4,71.3,16.8,1072,1009,19,44,943,400,66,63,957,441,911,420,94.1,1.8,4.1,88.0,37.3,6.2,5.9,93.5,39.6,6.5,94.8,43.7,90.3,41.6,71.9,16.5
Science 6 (Fr),001,Written in French,2908,2865,33,10,2311,532,554,43,2530,695,2143,550,98.5,1.1,0.3,79.5,18.3,19.1,1.5,80.7,18.6,19.3,88.3,24.3,74.8,19.2,62.5,16.5,3087,3032,33,22,2566,687,466,55,2716,997,2420,666,98.2,1.1,0.7,83.1,22.3,15.1,1.8,84.6,22.7,15.4,89.6,32.9,79.8,22.0,68.1,17.3,3042,2994,36,12,2533,735,461,48,2689,900,2340,808,98.4,1.2,0.4,83.3,24.2,15.2,1.6,84.6,24.5,15.4,89.8,30.1,78.2,27.0,67.5,16.9,3093,3044,29,20,2555,651,489,49,2736,888,2344,619,98.4,0.9,0.6,82.6,21.0,15.8,1.6,83.9,21.4,16.1,89.9,29.2,77.0,20.3,63.2,17.5,3254,3201,37,16,2692,629,509,53,2835,865,2549,616,98.4,1.1,0.5,82.7,19.3,15.6,1.6,84.1,19.7,15.9,88.6,27.0,79.6,19.2,62.0,17.6,68,68,0,0,47,9,21,0,55,16,46,9,100.0,0.0,0.0,69.1,13.2,30.9,0.0,69.1,13.2,30.9,80.9,23.5,67.6,13.2,58.5,17.3,72,71,0,1,64,16,7,1,65,23,62,17,98.6,0.0,1.4,88.9,22.2,9.7,1.4,90.1,22.5,9.9,91.5,32.4,87.3,23.9,70.5,14.1,84,84,0,0,69,21,15,0,73,25,61,24,100.0,0.0,0.0,82.1,25.0,17.9,0.0,82.1,25.0,17.9,86.9,29.8,72.6,28.6,66.8,17.8,82,80,1,1,63,8,17,2,67,14,60,6,97.6,1.2,1.2,76.8,9.8,20.7,2.4,78.8,10.0,21.3,83.8,17.5,75.0,7.5,58.7,15.8,104,102,2,0,82,16,20,2,88,26,75,16,98.1,1.9,0.0,78.8,15.4,19.2,1.9,80.4,15.7,19.6,86.3,25.5,73.5,15.7,60.7,18.3
