Course,Form,Language,School,Data Type,2010,2011,2012,2013,2014
Biology 30,,All,0401,% Acceptable,100,100,0,null,null
Biology 30,,All,0401,Course Mark,78,80,40,null,null
Biology 30,,All,0401,Exam Mark,60.5,69,39,null,null
Chemistry 30,,All,0401,% Acceptable,100,null,100,null,null
Chemistry 30,,All,0401,Course Mark,72,null,80,null,null
Chemistry 30,,All,0401,Exam Mark,67,null,78,null,null
English Lang Arts 30-1,,All,0401,% Acceptable,100,null,100,null,null
English Lang Arts 30-1,,All,0401,Course Mark,91,null,81.7,null,null
English Lang Arts 30-1,,All,0401,Exam Mark,64,null,43.3,null,null
English Lang Arts 30-2,,All,0401,% Acceptable,100,66.7,100,null,100
English Lang Arts 30-2,,All,0401,% Excellence,0,0,33.3,null,0
English Lang Arts 30-2,,All,0401,Course Mark,82,72.7,78.3,null,77.5
English Lang Arts 30-2,,All,0401,Exam Mark,66,50.3,66.3,null,67.5
Social Studies 30-1,,All,0401,% Acceptable,null,null,100,100,null
Social Studies 30-1,,All,0401,Course Mark,null,null,84,65,null
Social Studies 30-1,,All,0401,Exam Mark,null,null,41,45,null
Social Studies 30-2,,All,0401,% Acceptable,null,66.7,100,100,100
Social Studies 30-2,,All,0401,% Excellence,null,0,0,100,33.3
Social Studies 30-2,,All,0401,Course Mark,null,61.7,73.3,90,78.3
Social Studies 30-2,,All,0401,Exam Mark,null,47.8,60.3,70,69
English Language Arts 3,1,English,1221,% Acceptable,91,97,96.4,89.8,null
English Language Arts 3,1,English,1221,% Excellence,28.4,27.3,32.5,22.4,null
English Language Arts 3,1,English,1221,Mark,72.3,74.1,74.1,71,null
Mathematics 3,1,All,1221,% Acceptable,91,98.5,96.5,87.8,null
Mathematics 3,1,All,1221,% Excellence,23.9,33.3,42.4,24.5,null
Mathematics 3,1,All,1221,Mark,71.9,79.6,79,70.2,null
English Language Arts 6,1,English,1221,% Acceptable,98,92,97,92.5,100
English Language Arts 6,1,English,1221,% Excellence,26.5,28.7,22.4,26.3,32.8
English Language Arts 6,1,English,1221,Mark,69.1,67.5,70.2,68.3,72.5
Mathematics 6,1,All,1221,% Acceptable,100,93.1,95.6,85,97
Mathematics 6,1,All,1221,% Excellence,33.3,27.6,22.1,22.5,23.9
Mathematics 6,1,All,1221,Mark,81,70.4,67.8,59.6,66.3
Science 6,1,All,1221,% Acceptable,98,87.4,95.6,91.3,97
Science 6,1,All,1221,% Excellence,49,42.5,54.4,27.5,43.3
Science 6,1,All,1221,Mark,74.8,71.4,79.2,69.2,76.1
Social Studies 6,1,All,1221,% Acceptable,89.8,71.3,88.2,87.5,95.5
Social Studies 6,1,All,1221,% Excellence,28.6,23,20.6,20,22.4
Social Studies 6,1,All,1221,Mark,75.8,67.1,68.8,64.6,72.2
English Lang Arts 9 KAE,1,English,1221,% Acceptable,null,null,80,null,null
English Lang Arts 9 KAE,1,English,1221,% Excellence,null,null,20,null,null
English Lang Arts 9 KAE,1,English,1221,Mark,null,null,67.2,null,null
English Language Arts 9,1,English,1221,% Acceptable,97.3,92.8,97.2,95.5,94.4
English Language Arts 9,1,English,1221,% Excellence,21.9,20.5,29.6,31.3,23.3
English Language Arts 9,1,English,1221,Mark,71.4,68.1,73.1,72.5,70.6
